"","Var1","Freq"
"1","",240
"3","Abra alba",752
"7","Acartia",860
"8","Acartia (Acanthacartia) bifilosa",354
"9","Acartia (Acanthacartia) tonsa",540
"12","Acartia (Acartiura) longiremis",682
"15","Actinia",138
"31","Alkmaria romijni",111
"33","Ampharete",139
"34","Ampharete acutifrons",108
"35","Ampharete baltica",187
"52","Ampithoe rubricata",145
"53","Ampullaceana balthica",164
"64","Aphanizomenon",121
"73","Arctica islandica",847
"74","Arenicola marina",272
"75","Aricidea",262
"84","Astarte borealis",254
"85","Astarte elliptica",101
"99","Balanus",175
"109","Binuclearia lauterbornii",102
"111","Bivalvia",488
"113","Bosmina (Eubosmina) coregoni",106
"123","Bylgides sarsi",264
"132","Capitella capitata",561
"138","Centropages",382
"139","Centropages hamatus",957
"144","Cerastoderma glaucum",416
"145","Cerataulina bergonii",147
"150","Chaetoceros",216
"164","Chaetoceros danicus",167
"194","Chironomidae",1339
"196","Chironomus",150
"201","Choanoflagellatea",119
"202","Choanoflagellida",165
"209","Chrysochromulina",125
"226","Copepoda",463
"227","Corbula gibba",741
"229","Corophium",389
"230","Corophium volutator",289
"250","Cryptophyceae",293
"254","Cyathura carinata",589
"268","Diastylis rathkei",863
"277","Dinoflagellata",213
"278","Dinophyceae",137
"279","Dinophysis acuminata",105
"281","Dinophysis norvegica",124
"286","Dipolydora quadrilobata",168
"298","Ebria tripartita",297
"317","Eteone longa",386
"332","Eurytemora",103
"333","Eurytemora affinis affinis",150
"339","Eutreptiella",271
"343","Evadne nordmanni",326
"347","Fabricia stellaris",205
"365","Gammarus",345
"367","Gammarus locusta",160
"369","Gammarus salinus",121
"371","Gastropoda",369
"373","Gastrosaccus spinifer",133
"386","Gymnodiniales",119
"402","Halicryptus spinulosus",310
"405","Harmothoe",272
"408","Harmothoe impar",102
"410","Harpacticoida",151
"413","Hediste diversicolor",1897
"418","Heterocapsa rotundata",375
"419","Heteromastus filiformis",1335
"421","Heterotanais oerstedii",111
"427","Hydrobia",3597
"429","Idotea",758
"430","Idotea balthica",172
"431","Idotea chelipes",222
"436","Jaera (Jaera) albifrons",533
"440","Katodinium glaucum",134
"447","Kurtiella bidentata",455
"452","Lagis koreni",497
"456","Lekanesphaera hookeri",574
"467","Leucocryptos",125
"468","Leucocryptos marina",117
"470","Levinsenia gracilis",101
"473","Limapontia",101
"474","Limecola balthica",2491
"478","Lineus ruber",397
"483","Littorina saxatilis",730
"492","Macroplea mutica",159
"501","Melita palmata",267
"511","Mesodinium rubrum",436
"519","Microdeutopus gryllotalpa",1007
"534","Mya arenaria",1694
"542","Mytilus edulis",1696
"552","Nemertea",618
"556","Nephtys",911
"558","Nephtys ciliata",297
"559","Nephtys hombergii",169
"575","Nodularia spumigena",160
"585","Octactis speculum",218
"591","Oikopleura (Vexillaria) dioica",153
"594","Oithona similis",899
"595","Oligochaeta",1576
"602","Onoba aculeus",136
"611","Ophiura albida",187
"628","Paracalanus parvus parvus",193
"636","Parvicardium",1365
"646","Peridiniales",100
"650","Peringia ulvae",301
"674","Phyllodoce mucosa",171
"678","Plagioselmis prolonga",147
"684","Platynereis dumerilii",181
"691","Podon intermedius",118
"692","Podon leuckartii",144
"696","Polychaeta",304
"697","Polydora",405
"699","Polydora cornuta",407
"702","Pontoporeia femorata",254
"705","Potamopyrgus antipodarum",408
"707","Prasinophyceae",166
"711","Priapulus caudatus",157
"715","Proboscia alata",107
"720","Prorocentrum cordatum",175
"721","Prorocentrum micans",171
"743","Protozoa",136
"750","Pseudo-nitzschia",111
"754","Pseudocalanus",149
"755","Pseudocalanus elongatus",414
"756","Pseudocalanus minutus",321
"759","Pseudopedinella",138
"767","Pusillina sarsii",104
"769","Pygospio elegans",1815
"776","Retusa obtusa",140
"777","Retusa truncatula",226
"783","Rhizosolenia fragilissima f. fragilissima",165
"788","Rhizosolenia setigera",112
"795","Rissoa",453
"811","Scoloplos armiger",1329
"820","Skeletonema costatum",273
"821","Skeletonema marinoi",115
"834","Spionidae",195
"845","Streblospio shrubsolii",168
"854","Synchaeta",401
"861","Synedra nitzschioides f. nitzschioides",262
"867","Teleaulax",107
"870","Telonema",103
"872","Temora longicornis",1252
"873","Terebellides stroemii",808
"878","Thalassiosira",111
"911","Tripos fusus",199
"915","Tripos muelleri",309
"919","Trochochaeta multisetosa",178
"922","Tubificoides benedii",348
