TankID,FishID,PITID,Sex,ReprodState,Weight,Notes
E,G07,2220,m,dark,34,
E,G05,2016,f,nongravid,35,
E,G08,2191,m,nonproductive(light),25,
E,G06,2153,m,nonproductive(light),30,
E,G14,2045,m,light,55,
E,G12,2099,m,"nonproductive(light, juv?)",30,
E,G04,2060,m,dark,49,
E,G13,1286,m,unclear,36,"this was a typo (originally 1284, but was wrong)"
E,G11,2233,m,light,36,
E,G09,2026,m,juv,18,
E,G10,2217,m,light,31,
E,G02,2182,m,light,38,
E,G16,2132,j,juv,6,euthanised 30062020
E,G03,no_read,f,nongravid,25,"pit tag may have been rejected. Easily individually identified due to size and sex, so no replacement needed (Found pit tag 2221 stuck in a net 30062020, likely rejected); deceased 29062020"
D,G30,2034,m,light,26,
D,G21,2038,m,dark,66,
D,G20,2213,m,light,30,
D,G31,2089,m,dark,37,
D,G29,2156,m,light,57,"moved to tank E, to balance numbers"
D,G27,2116,m,light,27,
D,G24,2228,m,light,44,
D,G25,2122,m,dark,29,
D,G19,2019,m,dark,36,"moved to tank E, to balance numbers"
D,G22,2030,f,nongravid,30,
D,G23,2165,m,light,46,
D,G18,2216,m,light,25,
D,G28,2110,m,light,42,
D,G32,2155,m,light,20,
D,G34,2119,f,nongravid,54,
D,G36,2126,m,light,49,
D,G17,2028,m,light,44,
D,G26,2147,f,nongravid,31,
D,G35,2021,m,dark,44,
C,G55,2065,m,light,22,
C,G47,1492,m,dark,18,euthanised 02072020
C,G42,2014,m,light,42,
C,G50,2049,f,nongravid,17,deceased 26/06/2020
C,G54,1260,m(j),light,11,
C,G40,2101,m,light,27,
C,G49,2040,m,light,34,
C,G51,2044,m,dark,34,
C,G46,2024,m,light,47,
C,G45,2070,f,nongravid,18,
C,G52,1384,m(j),light,26,
C,G53,1395,m,dark,39,
C,G39,2112,m,light,32,
C,G38,1313,m,light,22,
C,G41,2133,m,light,30,
C,G44,2009,m,light,14,
C,G48,2084,f,nongravid,11,
