"FishID","PITID","TL","Sex","ConditionFactor","CondManual"
"G01",2068,9.4,NA,NA,NA
"G02",2182,14.2,"m",1.32714557529665,1.65936238857323
"G03",2221,13.5,"f",1.01610526850582,1.26506490104529
"G04",2060,15.4,"m",1.34163357303853,1.68897477042569
"G05",2016,13.7,"f",1.36115111382996,1.69675139387759
"G06",2153,13.2,"m",1.30436597378746,1.62088344322151
"G07",2220,14.3,"m",1.16270838555547,1.45462182368192
"G08",2191,11.9,"m",1.4835395354385,1.82751175296796
"G09",2026,10.9,"m",1.38993026410992,1.69959060765231
"G10",2217,13.6,"m",1.23238092814981,1.5352847808206
"G11",2233,13.5,"m",1.46319158664838,1.82169345750521
"G12",2099,13.4,"m",1.24682889850148,1.55134747673848
"G13",1286,13.8,"m",1.36982548423331,1.70861045953358
"G14",2045,16.3,"m",1.26998875713589,1.60644578200014
"G15",1412,11.5,NA,NA,NA
"G16",2132,8,"j",1.171875,1.39611587789875
"G17",2028,14.9,"m",1.33012933391657,1.66984497901462
"G18",2216,13.3,"m",1.06263737244632,1.32133638448013
"G19",2019,13.4,"m",1.49619467820177,1.86161697208617
"G20",2213,13.8,"m",1.14152123686109,1.42384204961131
"G21",2038,17.3,"m",1.27469307418694,1.62050027115904
"G22",2030,13.3,"f",1.27516484693559,1.58560366137615
"G23",2165,15.8,"m",1.16623634235831,1.47134154363572
"G24",2228,15.5,"m",1.18156490215166,1.48827611171505
"G25",2122,13.7,"m",1.12781092288768,1.40587972635571
"G26",2147,13,"f",1.41101502048248,1.75115934944658
"G27",2116,13.4,"m",1.12214600865133,1.39621272906463
"G28",2110,14.9,"m",1.26966890964764,1.59394293451395
"G29",2156,16.7,"m",1.22384225059866,1.55123705051879
"G30",2034,13,"m",1.18343195266272,1.46871429308423
"G31",2089,13.7,"m",1.43893117747738,1.79370861638488
"G32",2155,10.9,"m",1.54436696012213,1.88843400850256
"G33",2246,10.9,NA,NA,NA
"G34",2119,15.4,"f",1.47853495804246,1.86131913475484
"G35",2021,15.6,"m",1.15898784537838,1.46062918003605
"G36",2126,15.6,"m",1.29069100962592,1.62660976867651
"G37",1259,13.6,NA,NA,NA
"G38",1313,11.7,"m",1.37361522415215,1.68968732059062
"G39",2112,12.9,"m",1.49066772131408,1.84881093443466
"G40",2101,12.8,"m",1.28746032714844,1.59573560233655
"G41",2133,14.2,"m",1.04774650681315,1.31002293834729
"G42",2014,15.5,"m",1.12785740659931,1.42062719754618
"G43",2179,8,NA,NA,NA
"G44",2009,10.5,"m",1.20937263794407,1.47415882763288
"G45",2070,11,"f",1.35236664162284,1.65493032369897
"G46",2024,16.3,"m",1.08526311973431,1.37278094098193
"G47",1492,11.7,"m",1.12386700157903,1.38247144411959
"G48",2084,9.8,"f",1.16873071594319,1.4163666546188
"G49",2040,13.2,"m",1.47828143695912,1.83700123565105
"G50",2049,11.7,"f",1.06142994593575,1.30566747500184
"G51",2044,14,"m",1.23906705539359,1.54738645377751
"G52",1384,12.5,"m",1.3312,1.64665695202698
"G53",1395,14.3,"m",1.33369491284304,1.66853679775279
"G54",1260,9.5,"m",1.28298585799679,1.55076573637525
"G55",2065,11.3,"m",1.52471035701093,1.87006436806084
