"d15N","d13C","Individual"
11.41566667,-13.2854365734513,"G01"
11.19166667,-14.3981470504083,"G02"
10.61083333,-14.7709432792497,"G02"
10.75133333,-14.2562894579685,"G02"
10.96866667,-14.272227494402,"G03"
11.08266667,-13.9334321442577,"G04"
9.779666667,-14.6766591574818,"G05"
12.11966667,-14.4782096116123,"G06"
10.86183333,-14.3119159016662,"G06"
11.49233333,-13.9047921132995,"G06"
10.76366667,-13.0158307346967,"G07"
10.48866667,-16.5247009230629,"G08"
11.73166667,-15.6749588824234,"G09"
11.77666667,-17.8632381687269,"G10"
11.78683333,-18.3253541393249,"G10"
11.17933333,-17.6571502440988,"G10"
11.66666667,-15.638717721775,"G11"
11.59366667,-15.9882742266869,"G12"
10.97266667,-14.1425999749069,"G13"
10.46683333,-14.4905788117652,"G13"
10.31033333,-13.7864473840035,"G13"
11.29266667,-16.2025942473401,"G14"
11.04183333,-16.6399954385657,"G14"
11.21733333,-16.0419208750092,"G14"
10.92266667,-15.4924997822631,"G15"
9.924666667,-12.8299594766832,"G16"
10.65666667,-14.0847508762887,"G17"
11.15683333,-14.5208987533405,"G17"
11.08333333,-14.0430083538519,"G17"
10.48266667,-17.2634465231205,"G18"
10.59383333,-17.5080467046583,"G18"
10.51733333,-17.3374493424741,"G18"
11.78066667,-14.8574088988802,"G19"
10.37066667,-13.6447291914899,"G20"
10.47283333,-13.8141704120032,"G20"
10.29033333,-13.3246880582997,"G20"
9.870666667,-15.5092138914043,"G21"
10.19366667,-15.6495272006157,"G22"
10.17166667,-16.1241304144749,"G23"
12.05566667,-15.9629551763788,"G24"
11.82233333,-15.9764260536861,"G24"
11.27633333,-16.1224787470865,"G24"
11.50566667,-14.1913258955285,"G25"
12.86666667,-16.6016673115151,"G26"
12.58383333,-16.1976096051527,"G26"
11.85933333,-15.508635296962,"G26"
11.73166667,-16.3099576745957,"G27"
12.01266667,-16.2124635759315,"G28"
11.82483333,-16.378398435942,"G28"
11.84733333,-15.97908676495,"G28"
10.97866667,-15.9578304044166,"G29"
10.95566667,-12.9587629739552,"G30"
10.69566667,-16.3259718647268,"G31"
12.04066667,-15.0759091115648,"G32"
10.77266667,-14.4934960007574,"G33"
11.17183333,-16.8972767789053,"G35"
10.75033333,-16.5813009156095,"G35"
10.63933333,-16.4615411294385,"G35"
11.40083333,-16.5748452959748,"G36"
10.73383333,-17.4886197716941,"G37"
11.25183333,-14.1166623414457,"G38"
11.04783333,-14.4101310390882,"G41"
10.09833333,-14.1286067082652,"G41"
10.30133333,-14.3822244810403,"G41"
10.61283333,-16.5206208143912,"G42"
10.82283333,-14.4708587323638,"G43"
11.73683333,-15.8450556596886,"G44"
11.32933333,-15.343189696363,"G44"
11.75933333,-15.5956545950378,"G44"
10.28483333,-15.4968593463539,"G45"
11.86783333,-16.8004884877554,"G46"
11.93233333,-16.573682043814,"G46"
12.17433333,-16.4920155480584,"G46"
11.72483333,-17.3600737196346,"G47"
9.688833333,-13.3320701868732,"G48"
10.47983333,-14.8635762096235,"G49"
10.81233333,-14.4272366371915,"G49"
10.57833333,-14.7186955578046,"G49"
10.36183333,-14.3426402987812,"G50"
11.45083333,-14.6819563062457,"G51"
11.42533333,-14.3764065151313,"G51"
11.15833333,-14.724362563496,"G51"
11.56683333,-14.1760417531341,"G52"
12.08083333,-16.0974692909903,"G53"
12.04533333,-16.0431502450887,"G53"
12.20133333,-15.9047223871815,"G53"
10.87583333,-18.2216906520888,"G54"
10.77833333,-17.4343077224966,"G54"
10.98433333,-17.6204288163891,"G54"
11.46683333,-14.0010629198412,"G55"
11.512875,-14.3018016515095,"G01"
11.282875,-14.3250008580852,"G01"
10.586875,-15.2743467200466,"G03"
10.939875,-15.2239941692413,"G03"
11.283875,-14.7049533745207,"G04"
10.822875,-15.3940708228962,"G04"
9.199875,-15.3462709659681,"G05"
10.740875,-13.9094076230628,"G07"
10.887875,-14.1111682484347,"G07"
9.866875,-17.4551200066208,"G08"
9.972875,-17.3003300486999,"G08"
11.635875,-16.5032220143401,"G09"
11.764875,-16.6761458454815,"G09"
11.400875,-16.5690758990844,"G11"
11.618875,-16.6605527330814,"G11"
11.145875,-17.3044887116758,"G12"
11.202875,-17.1766391338762,"G12"
11.119875,-16.6591203345476,"G15"
10.930875,-16.958052128656,"G15"
9.738875,-13.7014325838378,"G16"
11.189875,-15.9581993610483,"G19"
10.972875,-16.0430098152724,"G19"
9.428875,-16.4931318251074,"G21"
9.741875,-16.2185181607501,"G22"
9.240875,-15.4610861258983,"G22"
9.728875,-16.2831163080272,"G23"
9.894875,-16.2790196722058,"G23"
11.328875,-14.8780499838262,"G25"
11.632875,-14.7246606457464,"G25"
11.274875,-16.8555269315854,"G27"
11.367875,-16.8041805431399,"G27"
10.467875,-16.2616637307672,"G29"
10.735875,-16.1700399648084,"G29"
11.201875,-13.156630261146,"G30"
11.276875,-13.2453270951923,"G30"
10.935875,-16.7009094737387,"G31"
10.303875,-16.9045749328528,"G31"
11.705875,-15.2868084621828,"G32"
11.672875,-15.2651718150035,"G32"
10.252875,-14.3241049294688,"G33"
10.611875,-14.5232458728167,"G33"
11.318875,-16.6114944590962,"G36"
11.077875,-16.40509001594,"G36"
10.812875,-17.4486306139463,"G37"
10.458875,-17.4706098084495,"G37"
10.767875,-14.0132328321858,"G38"
10.793875,-13.9993260519989,"G38"
10.387875,-17.4031709772304,"G39"
10.917875,-17.2088463344923,"G39"
10.856875,-13.6278474795332,"G40"
11.012875,-13.6130984351972,"G40"
10.057875,-16.4618489431858,"G42"
10.497875,-16.4309540540111,"G42"
11.217875,-14.4931108553712,"G43"
11.076875,-14.5578348172977,"G43"
9.722375,-15.1117483591945,"G45"
11.350375,-17.8299893876075,"G47"
11.394375,-17.7232844649643,"G47"
9.680375,-14.6361959807609,"G50"
10.229375,-14.5197694462027,"G50"
11.057375,-14.5225684694632,"G52"
11.438375,-14.468874326963,"G52"
11.074375,-14.4098711582029,"G55"
11.294375,-14.3220106487541,"G55"
