"","taxaID","sortID","rep","sampleID","date_packed","weight_packed..mg.","rack","row","position","d15N","d13C","N_percentage","C_percentage","runline","runID","date_data","Notes","Short.name"
"1","V01","prey","A","V01A","06-11-2020",0.48,"2","A",1,5.837666667,-14.45916667,0.119140654,0.435601175,6,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","C. glaucum"
"2","V01","prey","B","V01B","06-11-2020",0.51,"2","A",2,6.066666667,-15.50316667,0.113153367,0.448827865,7,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","C. glaucum"
"3","V01","prey","C","V01C","06-11-2020",0.51,"2","A",3,6.5305,-15.9115,0.092825332,0.383767042,6,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","C. glaucum"
"4","V02","prey","A","V02A","06-11-2020",0.47,"2","A",4,6.272666667,-15.99316667,0.151577966,0.587521265,8,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","M. edulis"
"5","V02","prey","B","V02B","06-11-2020",0.49,"2","A",5,5.497666667,-16.25816667,0.142429783,0.46929737,9,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","M. edulis"
"6","V02","prey","C","V02C","06-11-2020",0.53,"2","A",6,5.7835,-16.9465,0.119114098,0.453505694,7,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","M. edulis"
"7","V03","prey","A","V03A","06-11-2020",0.46,"2","A",7,6.826666667,-16.94316667,0.10895738,0.413122984,10,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","M. arenaria"
"8","V03","prey","B","V03B","06-11-2020",0.46,"2","A",8,7.452666667,-16.25916667,0.14403901,0.524672658,11,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","M. arenaria"
"9","V03","prey","C","V03C","06-11-2020",0.6,"2","A",9,8.9555,-16.8295,0.13631781,0.446462388,8,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","M. arenaria"
"10","V04","prey","A","V04A","06-11-2020",0.57,"2","A",10,5.628666667,-13.67916667,0.115935374,0.487842955,12,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","T. fluviatilis"
"11","V04","prey","B","V04B","06-11-2020",0.59,"2","A",11,6.428666667,-14.24316667,0.140293176,0.591629938,13,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","T. fluviatilis"
"12","V04","prey","C","V04C","06-11-2020",0.61,"2","A",12,6.2215,-14.3705,0.121739709,0.478227552,9,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","T. fluviatilis"
"13","V05","prey","A","V05A","06-11-2020",0.49,"2","B",1,4.365666667,-14.06716667,0.115274994,0.582887521,14,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","Littorinimorpha spp."
"14","V05","prey","B","V05B","06-11-2020",0.56,"2","B",2,4.408666667,-12.33016667,0.036503814,0.257905622,15,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","Littorinimorpha spp."
"15","V05","prey","C","V05C","06-11-2020",0.6,"2","B",3,5.4195,-14.4655,0.101965826,0.458418488,10,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","Littorinimorpha spp."
"16","V06","prey","A","V06A","06-11-2020",0.52,"2","B",4,9.103666667,-15.13116667,0.149102251,0.484816499,16,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","C. crangon"
"17","V06","prey","B","V06B","06-11-2020",0.48,"2","B",5,8.906666667,-12.98116667,0.143836883,0.450363917,17,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","C. crangon"
"18","V06","prey","C","V06C","06-11-2020",0.53,"2","B",6,10.2295,-14.0075,0.155550996,0.47586254,11,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","C. crangon"
"19","V07","prey","A","V07A","06-11-2020",0.55,"2","B",7,9.601666667,-15.19316667,0.144217865,0.469216709,18,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","Palaemon spp."
"20","V07","prey","B","V07B","06-11-2020",0.52,"2","B",8,8.389666667,-13.56016667,0.134616489,0.43856914,19,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","Palaemon spp."
"21","V07","prey","C","V07C","06-11-2020",0.53,"2","B",9,8.8065,-14.9185,0.151417684,0.491417973,12,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","Palaemon spp."
"22","V08","prey","A","V08A","06-11-2020",0.54,"2","B",10,5.617666667,-15.49516667,0.067187223,0.326202351,20,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Amphipoda spp."
"23","V08","prey","B","V08B","06-11-2020",0.45,"2","B",11,3.874666667,-14.21116667,0.092147298,0.482036178,21,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Amphipoda spp."
"24","V08","prey","C","V08C","06-11-2020",0.58,"2","B",12,4.7085,-15.0275,0.05896032,0.303750712,13,"Nick Moran 2020 0417 201129 set 1","07-12-2020","whole animal","Amphipoda spp."
"25","V09","prey","A","V09A","06-11-2020",0.52,"2","C",1,5.040666667,-14.33516667,0.044586989,0.25550991,22,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Idotea spp."
"26","V09","prey","B","V09B","06-11-2020",0.55,"2","C",2,3.938666667,-13.77616667,0.046831258,0.258011553,27,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Idotea spp."
"27","V09","prey","C","V09C","06-11-2020",0.53,"2","C",3,6.3775,-15.3005,0.057255948,0.264963353,14,"Nick Moran 2020 0417 201129 set 1","07-12-2020","whole animal","Idotea spp."
"28","V11","prey","A","V11A","06-11-2020",0.54,"2","C",4,5.212666667,-11.72716667,0.139300317,0.430790812,28,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Podocopida spp."
"29","V11","prey","B","V11B","06-11-2020",0.5,"2","C",5,5.238666667,-11.75716667,0.138263044,0.425640614,29,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Podocopida spp."
"30","V11","prey","C","V11C","06-11-2020",0.49,"2","C",6,5.5165,-13.0795,0.100259654,0.314329835,15,"Nick Moran 2020 0417 201129 set 1","07-12-2020","whole animal","Podocopida spp."
"31","V12","prey","A","V12A","06-11-2020",0.47,"2","C",7,5.870666667,-14.03316667,0.114564734,0.541392177,30,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Diptera spp. "
"32","V12","prey","B","V12B","06-11-2020",0.48,"2","C",8,2.047666667,-16.42516667,0.089942134,0.503318453,31,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Diptera spp. "
"33","V12","prey","C","V12C","06-11-2020",0.46,"2","C",9,4.1985,-18.7245,0.041206732,0.265196588,16,"Nick Moran 2020 0417 201129 set 1","07-12-2020","whole animal","Diptera spp. "
"34","V15","prey","A","V15A","06-11-2020",0.5,"2","C",10,7.681666667,-14.48716667,0.146537248,0.575926492,32,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","A. marina"
"35","V15","prey","B","V15B","06-11-2020",0.52,"2","C",11,9.192666667,-14.70616667,0.11823306,0.45105829,33,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","A. marina"
"36","V15","prey","C","V15C","06-11-2020",0.46,"2","C",12,8.0165,-14.1435,0.151123996,0.59345124,17,"Nick Moran 2020 0417 201129 set 1","07-12-2020","whole animal","A. marina"
"37","V16","prey","A","V16A","06-11-2020",0.48,"2","D",1,5.230666667,-17.22116667,0.106556742,0.431187577,34,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Polychaeta spp."
"38","V16","prey","B","V16B","06-11-2020",0.51,"2","D",2,8.110666667,-14.41616667,0.087695341,0.347790447,35,"Nick Moran 2020 0417 201205 set 2","07-12-2020","whole animal","Polychaeta spp."
"39","V16","prey","C","V16C","06-11-2020",0.52,"2","D",3,6.2025,-16.0865,0.122903628,0.466809747,18,"Nick Moran 2020 0417 201129 set 1","07-12-2020","whole animal","Polychaeta spp."
"40","V17","prey","A","V17A","06-11-2020",0.46,"2","D",4,9.141666667,-13.74516667,0.117749226,0.444425309,36,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","P. pungitius"
"41","V17","prey","B","V17B","06-11-2020",0.48,"2","D",5,9.839666667,-14.62716667,0.116689111,0.395282786,37,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","P. pungitius"
"42","V17","prey","C","V17C","06-11-2020",0.56,"2","D",6,9.7535,-14.4155,0.147051282,0.498756578,19,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","P. pungitius"
"43","V18","prey","A","V18A","06-11-2020",0.55,"2","D",7,11.51366667,-19.55916667,0.145641275,0.457843012,38,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","G. aculeatus"
"44","V18","prey","B","V18B","06-11-2020",0.55,"2","D",8,12.3685,-18.3975,0.157403768,0.511538064,20,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","G. aculeatus"
"45","V19","prey","A","V19A","06-11-2020",0.49,"2","D",9,10.61866667,-16.68516667,0.118414669,0.431093688,39,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","Syngnathidae spp."
"46","V19","prey","B","V19B","06-11-2020",0.48,"2","D",10,11.4215,-14.4305,0.126163848,0.39244128,21,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","Syngnathidae spp."
"47","V21","prey","A","V21A","06-11-2020",0.58,"2","D",11,10.42466667,-14.48016667,0.115249651,0.375516643,40,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","Gobiidae spp."
"48","V21","prey","B","V21B","06-11-2020",0.59,"2","D",12,11.61866667,-14.36316667,0.126659973,0.403326349,41,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","Gobiidae spp."
"49","V21","prey","C","V21C","06-11-2020",0.54,"2","E",1,10.0945,-14.4415,0.117320085,0.378404243,22,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","Gobiidae spp."
"50","V22","prey","A","V22A","06-11-2020",0.48,"2","E",2,10.73066667,-13.68416667,0.188682796,0.633709789,42,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","N. melanostomus"
"51","V22","prey","B","V22B","06-11-2020",0.57,"2","E",3,11.04666667,-13.30516667,0.162711991,0.519073063,43,"Nick Moran 2020 0417 201205 set 2","07-12-2020","soft tissue","N. melanostomus"
"52","V22","prey","C","V22C","06-11-2020",0.6,"2","E",4,10.9065,-12.7145,0.175738217,0.566306158,23,"Nick Moran 2020 0417 201129 set 1","07-12-2020","soft tissue","N. melanostomus"
