"","taxaID","Short.name","Classification","Diet.component","Comments"
"1","V01","C. glaucum","Phylum: Mollusca Class: Bivalvia Order: Cardiida Family: Cardiidae Cerastoderma glaucum","yes"," "
"2","V02","M. edulis","Phylum: Mollusca Class: Bivalvia Order: Mytilida Family: Mytilidae Mytilus edulis","yes"," "
"3","V03","M. arenaria","Phylum: Mollusca Class: Bivalvia Order: Myida Family: Myidae Mya arenaria","yes"," "
"4","V04","T. fluviatilis","Phylum: Mollusca Class: Gastropoda Order: Cycloneritida Family: Neritidae Theodoxus fluviatilis","yes"," "
"5","V05","Littorinimorpha spp.","Phylum: Mollusca Class: Gastropoda Order: Littorinimorpha Family: spp. ","yes"," "
"6","V06","C. crangon","Phylum: Arthropoda Class: Malacostraca Order: Decapoda Family: Crangonidae Crangon crangon","no"," "
"7","V07","Palaemon spp.","Phylum: Arthropoda Class: Malacostraca Order: Decapoda Family: Palaemonidae Palaemon spp. ","yes"," "
"8","V08","Amphipoda spp.","Phylum: Arthropoda Class: Malacostraca Order: Amphipoda Family: spp. ","yes"," "
"9","V09","Idotea spp.","Phylum: Arthropoda Class: Malacostraca Order: Isopoda Family: Idoteidae Idotea spp.","yes"," "
"10","V10","Isopoda spp.","Phylum: Arthropoda Class: Malacostraca Order: Isopoda Family: spp. ","no","Not analysed, insufficient biomass"
"11","V11","Podocopida spp.","Phylum: Arthropoda Class: Ostracoda Order: Podocopida Family: spp. ","no"," "
"12","V12","Diptera spp. ","Phylum: Arthropoda Class: Insecta Order: Diptera Family: spp. ","yes"," "
"13","V13","Trichoptera spp.","Phylum: Arthropoda Class: Insecta Order: Trichoptera Family: spp. ","no","Not analysed, insufficient biomass"
"14","V14","Tanaidacea spp.","Phylum: Arthropoda Class: Malacostraca Order: Tanaidacea Family: spp. ","no","Not analysed, insufficient biomass"
"15","V15","A. marina","Phylum: Annelida Class: Polychaeta Order: Capitellida Family: Arenicolidae Arenicola marina","yes"," "
"16","V16","Polychaeta spp.","Phylum: Annelida Class: Polychaeta Order: spp. Family:  ","yes"," "
"17","V17","P. pungitius","Phylum: Chordata Class: Actinopterygii Order: Gasterosteiformes Family: Gasterosteidae Pungitius pungitius","no"," "
"18","V18","G. aculeatus","Phylum: Chordata Class: Actinopterygii Order: Gasterosteiformes Family: Gasterosteidae Gasterosteus aculeatus","yes"," "
"19","V19","Syngnathidae spp.","Phylum: Chordata Class: Actinopterygii Order: Syngnathiformes Family: Syngnathidae spp.","no"," "
"20","V20","Actinopterygii spp.","Phylum: Chordata Class: Actinopterygii Order: spp. Family:  ","no","Not analysed, insufficient biomass"
"21","V21","Gobiidae spp.","Phylum: Chordata Class: Actinopterygii Order: Gobiiformes Family: Gobiidae spp.","no"," "
"22","V22","N. melanostomus","Phylum: Chordata Class: Actinopterygii Order: Gobiiformes Family: Gobiidae Neogobius melanostomus","no","Juvenile round gobies, <8cm"
