"","FishID","Treatment","TankID","TrialID","ArenaID","PITID","SL.x","Sex","InfectionScore","SL.y","TankID.combo","dTL","dSL","dWeight","dConditionFactor"
"1","K01","control","D_1","ACT4_1","A",NA,11.2,"M",2,12.1,"D",0.199999999999999,0.9,8,0.218215050123957
"2","K04","PITtagged","D_1","ACT4_1","D",1262,11.3,"F",3,11.3,"D",0,0,5,0.203221053701163
"3","K05","PIT+clip","D_1","ACT4_1","E",1370,11.8,"M",1,12,"D",0.0999999999999996,0.199999999999999,10,0.331158459891386
"4","K06","control","D_1","ACT4_1","F",NA,10.7,"F",2,10.7,"D",-0.300000000000001,0,-1,0.0718699462890628
"5","K08","PITtagged","D_2","ACT4_1","H",1439,11.1,"M",1,11.2,"D",0.199999999999999,0.0999999999999996,10,0.369179328456332
"6","K11","control","D_2","ACT4_2","C",NA,12.8,"M",1,13.3,"D",0.4,0.5,8,0.0840810582756948
"7","K13","PIT+clip","D_3","ACT4_2","E",1264,11.5,"F",3,11.8,"D",-0.200000000000001,0.300000000000001,8,0.386174411642978
"8","K14","PIT+clip","D_3","ACT4_2","F",1265,14.9,"M",1,14.5,"D",-0.100000000000001,-0.4,15,0.330872896516505
"9","K15","PITtagged","D_3","ACT4_2","G",1375,11.3,"M",1,11.3,"D",-0.299999999999999,0,-3,-0.0202168997367294
"10","K17","control","D_3","ACT4_3","A",NA,14.1,"M",1,14.4,"D",0.199999999999999,0.300000000000001,14,0.232729062680161
"11","K20","control","D_4","ACT4_3","D",NA,9.9,"M",2,9.5,"D",0,-0.4,-5,-0.328758116215994
"12","K21","PITtagged","D_4","ACT4_3","E",1434,8.7,"F",1,8.5,"D",0.300000000000001,-0.199999999999999,2,0.0635679667747615
"13","K22","PIT+clip","D_4","ACT4_3","F",1332,11.5,"M",3,11.5,"D",0.0999999999999996,0,6,0.20811191525855
"14","K23","control","D_4","ACT4_3","G",NA,11.2,"M",3,11.8,"D",0.5,0.600000000000001,8,0.15711120383442
"15","K24","PIT+clip","D_4","ACT4_3","H",1317,10.8,"F",3,10.4,"D",-0.299999999999999,-0.4,3,0.273497565561748
"16","K28","PIT+clip","E_1","ACT4_4","D",1321,12.3,"F",2,12.5,"E",-0.199999999999999,0.199999999999999,-1,0.0437995558178292
"17","K29","PIT+clip","E_1","ACT4_4","E",1496,12.1,"F",2,12.5,"E",0.5,0.4,1,-0.129489479010501
"18","K31","PIT+clip","E_2","ACT4_4","G",1371,11.8,"F",3,12,"E",0.0999999999999996,0.199999999999999,1,0.00396233662727741
"19","K32","PITtagged","E_2","ACT4_4","H",1421,12.2,"M",2,12.8,"E",0.5,0.600000000000001,7,0.0258151095277381
"20","K33","control","E_2","ACT4_5","A",NA,13,"M",1,13,"E",0.199999999999999,0,1,-0.0442435729212227
"21","K35","PIT+clip","E_2","ACT4_5","C",1442,12.4,"F",2,12.4,"E",-0.0999999999999996,0,-4,-0.0943896348432112
"22","K36","PITtagged","E_2","ACT4_5","D",1419,10.6,"F",2,10.8,"E",0.300000000000001,0.200000000000001,3,0.0340463378906244
"23","K37","PITtagged","E_3","ACT4_5","E",1322,11.8,"M",2,12,"E",0.5,0.199999999999999,5,-0.00380725404517634
"24","K38","PIT+clip","E_3","ACT4_5","F",1270,15.7,"F",2,16,"E",0.199999999999999,0.300000000000001,7,0.0631463749566383
"25","K39","control","E_3","ACT4_5","G",NA,12.2,"F",2,12.2,"E",0,0,3,0.102591916372541
"26","K40","control","E_3","ACT4_5","H",NA,11.6,"M",2,12.2,"E",0.700000000000001,0.6,9,0.0799985786296853
"27","K42","PIT+clip","E_3","ACT4_6","B",1272,12.4,"F",3,12.5,"E",0,0.0999999999999996,7,0.22961171019722
"28","K43","PITtagged","E_4","ACT4_6","C",1285,12.3,"M",2,12.5,"E",0.0999999999999996,0.199999999999999,2,0.0301250911343243
"29","K46","PITtagged","E_4","ACT4_6","F",1408,10.5,"M",3,10.8,"E",0.5,0.300000000000001,4,0.0286150204824762
"30","K47","PIT+clip","E_4","ACT4_6","G",1292,11.6,"F",2,11.8,"E",0.200000000000001,0.200000000000001,3,0.0391974375794231
